feature,importance,target,model
TS4_mean,0.0661491663094422,cooler_condition,random_forest
PS6_min,0.0538207755662782,cooler_condition,random_forest
EPS1_std,0.0496500219969644,cooler_condition,random_forest
PS1_min,0.0438120862549928,cooler_condition,random_forest
PS5_min,0.0437680657793916,cooler_condition,random_forest
PS5_mean,0.0436917157581344,cooler_condition,random_forest
TS2_std,0.0289195978319222,cooler_condition,random_forest
TS1_mean,0.0282529876785442,cooler_condition,random_forest
TS2_mean,0.0192427446320151,cooler_condition,random_forest
PS1_std,0.0192367505402088,cooler_condition,random_forest
FS2_mean,0.0160705777354267,cooler_condition,random_forest
TS3_mean,0.014051481849291,cooler_condition,random_forest
PS3_mean,0.0102686416994633,cooler_condition,random_forest
VS1_mean,0.0097163139304055,cooler_condition,random_forest
PS1_mean,0.0069671536925809,cooler_condition,random_forest
PS2_mean,0.0054575041227965,cooler_condition,random_forest
PS3_max,0.0050210414768776,cooler_condition,random_forest
PS1_max,0.0047735851492231,cooler_condition,random_forest
PS4_min,0.0039022345629454,cooler_condition,random_forest
VS1_std,0.0035737173415823,cooler_condition,random_forest
TS1_std,0.0030729149704129,cooler_condition,random_forest
TS3_std,0.0016036366727215,cooler_condition,random_forest
PS2_max,0.0015819976344909,cooler_condition,random_forest
TS4_std,0.0013840186660045,cooler_condition,random_forest
PS5_std,0.0009295637288551,cooler_condition,random_forest
PS6_std,0.0004941547809372,cooler_condition,random_forest
PS3_std,0.0003302908343941,cooler_condition,random_forest
FS2_std,0.0003058853393745,cooler_condition,random_forest
PS4_max,0.0001902941119945,cooler_condition,random_forest
SE_mean,0.0001720057606185,cooler_condition,random_forest
SE_std,0.0001622990004877,cooler_condition,random_forest
PS4_std,0.0001356865653105,cooler_condition,random_forest
PS4_mean,0.0001248402215594,cooler_condition,random_forest
CE_std,0.0001025196350812,cooler_condition,random_forest
CP_std,9.76957777075234e-05,cooler_condition,random_forest
FS1_mean,8.592338589024055e-05,cooler_condition,random_forest
PS2_std,4.726384677936514e-05,cooler_condition,random_forest
FS1_std,3.715909518796915e-05,cooler_condition,random_forest
EPS1_mean,6.820442381471135e-06,cooler_condition,random_forest
PS3_min,0.0,cooler_condition,random_forest
PS2_min,0.0,cooler_condition,random_forest
FS1_mean,0.1932151990815351,pump_leakage,peecom
SE_mean,0.1568846118719022,pump_leakage,peecom
SE_std,0.1146379129460308,pump_leakage,peecom
FS1_std,0.0538792520298931,pump_leakage,peecom
EPS1_mean,0.0295215209972987,pump_leakage,peecom
PS1_max,0.0230373389603486,pump_leakage,peecom
PS3_mean,0.0207937855562002,pump_leakage,peecom
PS1_min,0.013814402320241,pump_leakage,peecom
PS1_mean,0.0097229500714923,pump_leakage,peecom
PS3_std,0.0089899981132637,pump_leakage,peecom
TS1_mean,0.0081191440081126,pump_leakage,peecom
PS4_std,0.0069053729036357,pump_leakage,peecom
TS2_mean,0.0054496694131771,pump_leakage,peecom
PS1_std,0.0052740564728979,pump_leakage,peecom
TS4_mean,0.0050590849795157,pump_leakage,peecom
VS1_std,0.0045435896331955,pump_leakage,peecom
PS6_min,0.0042967684447531,pump_leakage,peecom
PS2_max,0.0036171865722394,pump_leakage,peecom
PS6_mean,0.0031999514286198,pump_leakage,peecom
PS5_max,0.0025822344583377,pump_leakage,peecom
PS6_max,0.0025092431492727,pump_leakage,peecom
CE_mean,0.0023741397499108,pump_leakage,peecom
PS5_mean,0.0023538336252789,pump_leakage,peecom
TS3_mean,0.0022870723989724,pump_leakage,peecom
FS2_mean,0.0022599454639316,pump_leakage,peecom
PS2_std,0.0022462679667254,pump_leakage,peecom
TS2_std,0.0021189850001388,pump_leakage,peecom
VS1_mean,0.0020091061299993,pump_leakage,peecom
CP_mean,0.0019953348423773,pump_leakage,peecom
PS5_min,0.0018914606355751,pump_leakage,peecom
EPS1_std,0.0018161263720468,pump_leakage,peecom
PS4_min,0.0017334080227042,pump_leakage,peecom
PS2_mean,0.0014144583313334,pump_leakage,peecom
PS4_mean,0.0011357420563912,pump_leakage,peecom
PS4_max,0.0011341288313069,pump_leakage,peecom
TS1_std,0.0008610050794061,pump_leakage,peecom
FS2_std,0.0006442659579545,pump_leakage,peecom
PS6_std,0.000545761097149,pump_leakage,peecom
TS4_std,0.0004222828332228,pump_leakage,peecom
PS5_std,0.0003556114436353,pump_leakage,peecom
CE_std,0.0002385464088927,pump_leakage,peecom
PS3_max,0.0002303864965578,pump_leakage,peecom
TS3_std,0.0002286197060654,pump_leakage,peecom
CP_std,0.0001992993242092,pump_leakage,peecom
PS3_min,0.0,pump_leakage,peecom
PS2_min,0.0,pump_leakage,peecom
FS1_mean,0.2237278132827512,pump_leakage,random_forest
SE_mean,0.171658576169593,pump_leakage,random_forest
SE_std,0.1386007490157555,pump_leakage,random_forest
FS1_std,0.0762353529976163,pump_leakage,random_forest
EPS1_mean,0.0536768235004624,pump_leakage,random_forest
PS1_max,0.049999802383258,pump_leakage,random_forest
PS3_mean,0.0366090292782576,pump_leakage,random_forest
PS1_min,0.0245812909944738,pump_leakage,random_forest
PS1_mean,0.0177102989525053,pump_leakage,random_forest
TS2_mean,0.0175828740684725,pump_leakage,random_forest
PS2_mean,0.015056500276161,pump_leakage,random_forest
PS4_std,0.011706056311675,pump_leakage,random_forest
PS2_std,0.0116597853046261,pump_leakage,random_forest
TS1_mean,0.0104917299296141,pump_leakage,random_forest
PS6_mean,0.0103331449130656,pump_leakage,random_forest
PS4_min,0.0096731638990652,pump_leakage,random_forest
PS2_max,0.0094988788456069,pump_leakage,random_forest
PS3_std,0.0094367701978341,pump_leakage,random_forest
PS1_std,0.0090763840232259,pump_leakage,random_forest
TS4_mean,0.0085747045445825,pump_leakage,random_forest
PS5_mean,0.0083889290739974,pump_leakage,random_forest
EPS1_std,0.0076087575926655,pump_leakage,random_forest
PS6_max,0.0063423992523442,pump_leakage,random_forest
PS6_min,0.0062046790100912,pump_leakage,random_forest
TS3_mean,0.0061861375290862,pump_leakage,random_forest
PS4_mean,0.0060984263824592,pump_leakage,random_forest
FS2_mean,0.0049394988107638,pump_leakage,random_forest
PS5_min,0.0046519279151301,pump_leakage,random_forest
VS1_std,0.0041202650857513,pump_leakage,random_forest
VS1_mean,0.0037394310974271,pump_leakage,random_forest
TS2_std,0.0036530749587779,pump_leakage,random_forest
CE_mean,0.0033942818742919,pump_leakage,random_forest
PS5_max,0.0032798343295129,pump_leakage,random_forest
CP_mean,0.0029414673548405,pump_leakage,random_forest
TS1_std,0.0024757175121433,pump_leakage,random_forest
PS5_std,0.0020467049236787,pump_leakage,random_forest
FS2_std,0.0016504759633169,pump_leakage,random_forest
PS4_max,0.0016041311059947,pump_leakage,random_forest
PS6_std,0.0014178430261671,pump_leakage,random_forest
PS3_max,0.0014155136882009,pump_leakage,random_forest
TS4_std,0.0008496388926053,pump_leakage,random_forest
TS3_std,0.0006608793539154,pump_leakage,random_forest
CP_std,0.0002255927497598,pump_leakage,random_forest
CE_std,0.0002146636284749,pump_leakage,random_forest
PS3_min,0.0,pump_leakage,random_forest
PS2_min,0.0,pump_leakage,random_forest
